type,sentence
T3,Some winkles are mammals.
T3,Some winkles are insects.
T3,Some carp are reptiles.
T3,Some carp are birds.
T3,Some carp are mammals.
T3,Some carp are insects.
T3,Some carp are shellfish.
T3,Some crocodiles are fish.
T3,Some crocodiles are birds.
T3,Some crocodiles are mammals.
T3,Some crocodiles are insects.
T3,Some crocodiles are shellfish.
T3,Some canaries are fish.
T3,Some canaries are reptiles.
T3,Some canaries are mammals.
T3,Some canaries are insects.
T3,Some canaries are shellfish.
T3,Some horses are fish.
T3,Some horses are reptiles.
T3,Some horses are birds.
T3,Some horses are insects.
T3,Some horses are shellfish.
T3,Some termites are fish.
T3,Some termites are reptiles.
T3,Some termites are birds.
T3,Some termites are mammals.
T3,Some termites are shellfish.
T3,Some crabs are fish.
T3,Some crabs are reptiles.
T3,Some crabs are birds.
T3,Some crabs are mammals.
T3,Some crabs are insects.
T3,Some cod are reptiles.
T3,Some cod are birds.
T3,Some cod are mammals.
T3,Some cod are insects.
T3,Some cod are shellfish.
T3,Some chameleons are fish.
T3,Some chameleons are birds.
T3,Some chameleons are mammals.
T3,Some chameleons are insects.
T3,Some chameleons are shellfish.
T3,Some crows are fish.
T3,Some crows are reptiles.
T3,Some crows are mammals.
T3,Some crows are insects.
T3,Some crows are shellfish.
T3,Some dogs are fish.
T3,Some dogs are reptiles.
T3,Some dogs are birds.
T3,Some dogs are insects.
T3,Some dogs are shellfish.
T3,Some cockroaches are fish.
T3,Some cockroaches are reptiles.
T3,Some cockroaches are birds.
T3,Some cockroaches are mammals.
T3,Some cockroaches are shellfish.
T3,Some prawns are fish.
T3,Some prawns are reptiles.
T3,Some prawns are birds.
T3,Some prawns are mammals.
T3,Some prawns are insects.
T3,Some haddocks are reptiles.
T3,Some haddocks are birds.
T3,Some haddocks are mammals.
T3,Some haddocks are insects.
T3,Some haddocks are shellfish.
T3,Some iguanas are fish.
T3,Some iguanas are birds.
T3,Some iguanas are mammals.
T3,Some iguanas are insects.
T3,Some iguanas are shellfish.
T3,Some owls are fish.
T3,Some owls are reptiles.
T3,Some owls are mammals.
T3,Some owls are insects.
T3,Some owls are shellfish.
T3,Some pigs are fish.
T3,Some pigs are reptiles.
T3,Some pigs are birds.
T3,Some pigs are insects.
T3,Some pigs are shellfish.
T3,Some caterpillars are fish.
T3,Some caterpillars are reptiles.
T3,Some caterpillars are birds.
T3,Some caterpillars are mammals.
T3,Some caterpillars are shellfish.
T3,Some clams are fish.
T3,Some clams are reptiles.
T3,Some clams are birds.
T3,Some clams are mammals.
T3,Some clams are insects.
T3,Some piranhas are reptiles.
T3,Some piranhas are birds.
T3,Some piranhas are mammals.
T3,Some piranhas are insects.
T3,Some piranhas are shellfish.
T3,Some lizards are fish.
T3,Some lizards are birds.
T3,Some lizards are mammals.
T3,Some lizards are insects.
T3,Some lizards are shellfish.
T3,Some sparrows are fish.
T3,Some sparrows are reptiles.
T3,Some sparrows are mammals.
T3,Some sparrows are insects.
T3,Some sparrows are shellfish.
T3,Some elephants are fish.
T3,Some elephants are reptiles.
T3,Some elephants are birds.
T3,Some elephants are insects.
T3,Some elephants are shellfish.
T3,Some ants are fish.
T3,Some ants are reptiles.
T3,Some ants are birds.
T3,Some ants are mammals.
T3,Some ants are shellfish.
T3,Some oysters are fish.
T3,Some oysters are reptiles.
T3,Some oysters are birds.
T3,Some oysters are mammals.
T3,Some oysters are insects.
T3,Some sharks are reptiles.
T3,Some sharks are birds.
T3,Some sharks are mammals.
T3,Some sharks are insects.
T3,Some sharks are shellfish.
T3,Some geckoes are fish.
T3,Some geckoes are birds.
T3,Some geckoes are mammals.
T3,Some geckoes are insects.
T3,Some geckoes are shellfish.
T3,Some peacocks are fish.
T3,Some peacocks are reptiles.
T3,Some peacocks are mammals.
T3,Some peacocks are insects.
T3,Some peacocks are shellfish.
T3,Some sheep are fish.
T3,Some sheep are reptiles.
T3,Some sheep are birds.
T3,Some sheep are insects.
T3,Some sheep are shellfish.
T3,Some flies are fish.
T3,Some flies are reptiles.
T3,Some flies are birds.
T3,Some flies are mammals.
T3,Some flies are shellfish.
T3,Some lobsters are fish.
T3,Some lobsters are reptiles.
T3,Some lobsters are birds.
T3,Some lobsters are mammals.
T3,Some lobsters are insects.
T3,Some salmon are reptiles.
T3,Some salmon are birds.
T3,Some salmon are mammals.
T3,Some salmon are insects.
T3,Some salmon are shellfish.
T3,Some snakes are fish.
T3,Some snakes are birds.
T3,Some snakes are mammals.
T3,Some snakes are insects.
T3,Some snakes are shellfish.
T3,Some parrots are fish.
T3,Some parrots are reptiles.
T3,Some parrots are mammals.
T3,Some parrots are insects.
T3,Some parrots are shellfish.
T3,Some bears are fish.
T3,Some bears are reptiles.
T3,Some bears are birds.
T3,Some bears are insects.
T3,Some bears are shellfish.
T3,Some mosquitoes are fish.
T3,Some mosquitoes are reptiles.
T3,Some mosquitoes are birds.
T3,Some mosquitoes are mammals.
T3,Some mosquitoes are shellfish.
T3,Some langoustines are fish.
T3,Some langoustines are reptiles.
T3,Some langoustines are birds.
T3,Some langoustines are mammals.
T3,Some langoustines are insects.
T4,All anchovies are fish.
T4,All alligators are reptiles.
T4,All eagles are birds.
T4,All cats are mammals.
T4,All wasps are insects.
T4,All winkles are shellfish.
T4,All carp are fish.
T4,All crocodiles are reptiles.
T4,All canaries are birds.
T4,All horses are mammals.
T4,All termites are insects.
T4,All crabs are shellfish.
T4,All cod are fish.
T4,All chameleons are reptiles.
T4,All crows are birds.
T4,All dogs are mammals.
T4,All cockroaches are insects.
T4,All prawns are shellfish.
T4,All haddocks are fish.
T4,All iguanas are reptiles.
T4,All owls are birds.
T4,All pigs are mammals.
T4,All caterpillars are insects.
T4,All clams are shellfish.
T4,All piranhas are fish.
T4,All lizards are reptiles.
T4,All sparrows are birds.
T4,All elephants are mammals.
T4,All ants are insects.
T4,All oysters are shellfish.
T4,All sharks are fish.
T4,All geckoes are reptiles.
T4,All peacocks are birds.
T4,All sheep are mammals.
T4,All flies are insects.
T4,All lobsters are shellfish.
T4,All salmon are fish.
T4,All snakes are reptiles.
T4,All parrots are birds.
T4,All bears are mammals.
T4,All mosquitoes are insects.
T4,All langoustines are shellfish.
T5,All fish are anchovies.
T5,All reptiles are alligators.
T5,All birds are eagles.
T5,All mammals are cats.
T5,All insects are wasps.
T5,All shellfish are winkles.
T5,All fish are carp.
T5,All reptiles are crocodiles.
T5,All birds are canaries.
T5,All mammals are horses.
T5,All insects are termites.
T5,All shellfish are crabs.
T5,All fish are cod.
T5,All reptiles are chameleons.
T5,All birds are crows.
T5,All mammals are dogs.
T5,All insects are cockroaches.
T5,All shellfish are prawns.
T5,All fish are haddocks.
T5,All reptiles are iguanas.
T5,All birds are owls.
T5,All mammals are pigs.
T5,All insects are caterpillars.
T5,All shellfish are clams.
T5,All fish are piranhas.
T5,All reptiles are lizards.
T5,All birds are sparrows.
T5,All mammals are elephants.
T5,All insects are ants.
T5,All shellfish are oysters.
T5,All fish are sharks.
T5,All reptiles are geckoes.
T5,All birds are peacocks.
T5,All mammals are sheep.
T5,All insects are flies.
T5,All shellfish are lobsters.
T5,All fish are salmon.
T5,All reptiles are snakes.
T5,All birds are parrots.
T5,All mammals are bears.
T5,All insects are mosquitoes.
T5,All shellfish are langoustines.
T6,All anchovies are reptiles.
T6,All anchovies are birds.
T6,All anchovies are mammals.
T6,All anchovies are insects.
T6,All anchovies are shellfish.
T6,All alligators are fish.
T6,All alligators are birds.
T6,All alligators are mammals.
T6,All alligators are insects.
T6,All alligators are shellfish.
T6,All eagles are fish.
T6,All eagles are reptiles.
T6,All eagles are mammals.
T6,All eagles are insects.
T6,All eagles are shellfish.
T6,All cats are fish.
T6,All cats are reptiles.
T6,All cats are birds.
T6,All cats are insects.
T6,All cats are shellfish.
T6,All wasps are fish.
T6,All wasps are reptiles.
T6,All wasps are birds.
T6,All wasps are mammals.
T6,All wasps are shellfish.
T6,All winkles are fish.
T6,All winkles are reptiles.
T6,All winkles are birds.
T6,All winkles are mammals.
T6,All winkles are insects.
T6,All carp are reptiles.
T6,All carp are birds.
T6,All carp are mammals.
T6,All carp are insects.
T6,All carp are shellfish.
T6,All crocodiles are fish.
T6,All crocodiles are birds.
T6,All crocodiles are mammals.
T6,All crocodiles are insects.
T6,All crocodiles are shellfish.
T6,All canaries are fish.
T6,All canaries are reptiles.
T6,All canaries are mammals.
T6,All canaries are insects.
T6,All canaries are shellfish.
T6,All horses are fish.
T6,All horses are reptiles.
T6,All horses are birds.
T6,All horses are insects.
T6,All horses are shellfish.
T6,All termites are fish.
T6,All termites are reptiles.
T6,All termites are birds.
T6,All termites are mammals.
T6,All termites are shellfish.
T6,All crabs are fish.
T6,All crabs are reptiles.
T6,All crabs are birds.
T6,All crabs are mammals.
T6,All crabs are insects.
T6,All cod are reptiles.
T6,All cod are birds.
T6,All cod are mammals.
T6,All cod are insects.
T6,All cod are shellfish.
T6,All chameleons are fish.
T6,All chameleons are birds.
T6,All chameleons are mammals.
T6,All chameleons are insects.
T6,All chameleons are shellfish.
T6,All crows are fish.
T6,All crows are reptiles.
T6,All crows are mammals.
T6,All crows are insects.
T6,All crows are shellfish.
T6,All dogs are fish.
T6,All dogs are reptiles.
T6,All dogs are birds.
T6,All dogs are insects.
T6,All dogs are shellfish.
T6,All cockroaches are fish.
T6,All cockroaches are reptiles.
T6,All cockroaches are birds.
T6,All cockroaches are mammals.
T6,All cockroaches are shellfish.
T6,All prawns are fish.
T6,All prawns are reptiles.
T6,All prawns are birds.
T6,All prawns are mammals.
T6,All prawns are insects.
T6,All haddocks are reptiles.
T6,All haddocks are birds.
T6,All haddocks are mammals.
T6,All haddocks are insects.
T6,All haddocks are shellfish.
T6,All iguanas are fish.
T6,All iguanas are birds.
T6,All iguanas are mammals.
T6,All iguanas are insects.
T6,All iguanas are shellfish.
T6,All owls are fish.
T6,All owls are reptiles.
T6,All owls are mammals.
T6,All owls are insects.
T6,All owls are shellfish.
T6,All pigs are fish.
T6,All pigs are reptiles.
T6,All pigs are birds.
T6,All pigs are insects.
T6,All pigs are shellfish.
T6,All caterpillars are fish.
T6,All caterpillars are reptiles.
T6,All caterpillars are birds.
T6,All caterpillars are mammals.
T6,All caterpillars are shellfish.
T6,All clams are fish.
T6,All clams are reptiles.
T6,All clams are birds.
T6,All clams are mammals.
T6,All clams are insects.
T6,All piranhas are reptiles.
T6,All piranhas are birds.
T6,All piranhas are mammals.
T6,All piranhas are insects.
T6,All piranhas are shellfish.
T6,All lizards are fish.
T6,All lizards are birds.
T6,All lizards are mammals.
T6,All lizards are insects.
T6,All lizards are shellfish.
T6,All sparrows are fish.
T6,All sparrows are reptiles.
T6,All sparrows are mammals.
T6,All sparrows are insects.
T6,All sparrows are shellfish.
T6,All elephants are fish.
T6,All elephants are reptiles.
T6,All elephants are birds.
T6,All elephants are insects.
T6,All elephants are shellfish.
T6,All ants are fish.
T6,All ants are reptiles.
T6,All ants are birds.
T6,All ants are mammals.
T6,All ants are shellfish.
T6,All oysters are fish.
T6,All oysters are reptiles.
T6,All oysters are birds.
T6,All oysters are mammals.
T6,All oysters are insects.
T6,All sharks are reptiles.
T6,All sharks are birds.
T6,All sharks are mammals.
T6,All sharks are insects.
T6,All sharks are shellfish.
T6,All geckoes are fish.
T6,All geckoes are birds.
T6,All geckoes are mammals.
T6,All geckoes are insects.
T6,All geckoes are shellfish.
T6,All peacocks are fish.
T6,All peacocks are reptiles.
T6,All peacocks are mammals.
T6,All peacocks are insects.
T6,All peacocks are shellfish.
T6,All sheep are fish.
T6,All sheep are reptiles.
T6,All sheep are birds.
T6,All sheep are insects.
T6,All sheep are shellfish.
T6,All flies are fish.
T6,All flies are reptiles.
T6,All flies are birds.
T6,All flies are mammals.
T6,All flies are shellfish.
T6,All lobsters are fish.
T6,All lobsters are reptiles.
T6,All lobsters are birds.
T6,All lobsters are mammals.
T6,All lobsters are insects.
T6,All salmon are reptiles.
T6,All salmon are birds.
T6,All salmon are mammals.
T6,All salmon are insects.
T6,All salmon are shellfish.
T6,All snakes are fish.
T6,All snakes are birds.
T6,All snakes are mammals.
T6,All snakes are insects.
T6,All snakes are shellfish.
T6,All parrots are fish.
T6,All parrots are reptiles.
T6,All parrots are mammals.
T6,All parrots are insects.
T6,All parrots are shellfish.
T6,All bears are fish.
T6,All bears are reptiles.
T6,All bears are birds.
T6,All bears are insects.
T6,All bears are shellfish.
T6,All mosquitoes are fish.
T6,All mosquitoes are reptiles.
T6,All mosquitoes are birds.
T6,All mosquitoes are mammals.
T6,All mosquitoes are shellfish.
T6,All langoustines are fish.
T6,All langoustines are reptiles.
T6,All langoustines are birds.
T6,All langoustines are mammals.
T6,All langoustines are insects.
